[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:50]fsockopen(): unable to connect to 127.0.0.1:8001 (Connection refused)
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:52]fwrite() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:53]feof() expects parameter 1 to be resource, boolean given
[2019-02-25 08:06:33][Warning][file:/www/2019/spiderBackend/EasySwooleEvent.php][line:54]fgets() expects parameter 1 to be resource, boolean given
